index,name,slug,marketShare,marketPercentage,year
0,20TH CENTURY FOX,20th-century-fox,138433627,0.1809843633136393,2002
1,ENTERTAINMENT,entertainment,127462976,0.1666416322200508,2002
2,WARNER BROS,warner-bros,120237358,0.1571950555347663,2002
3,BVI,bvi,119819112,0.1566482520762505,2002
4,COL/TRISTAR,col/tristar,98152170,0.128321480699932,2002
5,UNITED INTERNATIONAL PICTURES,united-international-pictures,97076787,0.1269155541791069,2002
6,PATHE,pathe,14257340,0.0186396590074612,2002
7,HELKON SK,helkon-sk,13717876,0.0179343784286996,2002
8,MOMENTUM,momentum,13714527,0.017930000037077,2002
9,ICON,icon,6511724,0.0085132510630104,2002
10,BVI,bvi,208001152,0.2701882019010581,2003
11,UNITED INTERNATIONAL PICTURES,united-international-pictures,178867756,0.2323446620705119,2003
12,ENTERTAINMENT,entertainment,108760190,0.1412767183833551,2003
13,WARNER BROS,warner-bros,84465764,0.1097188774096747,2003
14,COL/TRISTAR,col/tristar,75461345,0.0980223663308624,2003
15,20TH CENTURY FOX,20th-century-fox,69125290,0.0897919921664145,2003
16,PATHE,pathe,14514776,0.018854324558917,2003
17,MOMENTUM,momentum,7831563,0.0101730009891717,2003
18,ICON,icon,4951937,0.0064324401143572,2003
19,REDBUS,redbus,3910657,0.0050798438995269,2003
20,UNITED INTERNATIONAL PICTURES,united-international-pictures,248454026,0.3029416449533047,2004
21,BVI,bvi,123533966,0.1506257856640472,2004
22,WARNER BROS,warner-bros,119232268,0.1453806967065741,2004
23,20TH CENTURY FOX,20th-century-fox,89021122,0.1085440456266497,2004
24,COL/TRISTAR,col/tristar,82246984,0.1002842941470714,2004
25,ENTERTAINMENT,entertainment,70525354,0.0859920327943252,2004
26,PATHE,pathe,22375552,0.0272826592458526,2004
27,MOMENTUM,momentum,17995283,0.0219417681459516,2004
28,ICON,icon,17886250,0.0218088234844946,2004
29,OPTIMUM,optimum,7494820,0.0091384838313263,2004
30,UNITED INTERNATIONAL PICTURES,united-international-pictures,234643817,0.2958558224725086,2005
31,WARNER BROS,warner-bros,148526283,0.187272633805431,2005
32,20TH CENTURY FOX,20th-century-fox,113565683,0.143191791619283,2005
33,BVI,bvi,102771126,0.1295812367779365,2005
34,ENTERTAINMENT,entertainment,77282347,0.0974431486268006,2005
35,SONY PICTURES,sony-pictures,50819175,0.0640764756098361,2005
36,PATHE,pathe,29399423,0.0370689097334373,2005
37,MOMENTUM,momentum,15043391,0.01896779073058,2005
38,OPTIMUM,optimum,4254407,0.0053642627289761,2005
39,REDBUS,redbus,2593603,0.0032702014420953,2005
40,20TH CENTURY FOX,20th-century-fox,168165377,0.2055806330331164,2006
41,UNITED INTERNATIONAL PICTURES,united-international-pictures,160557871,0.1962805266308144,2006
42,SONY PICTURES,sony-pictures,134671895,0.1646351580793553,2006
43,BVI,bvi,132817049,0.1623676258342432,2006
